"ParticipantNumber","OverallExperience","PreRegImp","PreregExp1","PreregUse_1","PreregUse_2","PreregUse_4","PreregUse_6","PreregUse_7","PreregUse_7_TEXT","PreRegExp2","PreRegExp2_TEXT","RRExp_1","RRExp_4","RRExp_5","RRExp_6","RRExp_7","RRExp_7_TEXT","prereg-concerns","PreRegConList","PreRegCon_delay","PreRegCon_look","PreRegCon_prevent_exp","PreRegCon_stifle_creativity","PreRegCon_scooping","PreRegCon_other","PreRegCon_text","PreRegCon_prevent_sig","PreRegCon_diff_pub","PreRegCon_none","CodeDef","CodeImp","CodeExp","CodeUse_useOthers","CodeUse_mine","CodeUse_reading","CodeUse_other","CodeUse_text","CodeUse_peer","Code-concerns","CodeConcernList","CodeCon_criticise","CodeCon_diff_understand","CodeCon_assistance","CodeCon_lose_control","CodeCon_errors","CodeCon_credit","CodeCon_other","CodeCon_text","CodeCon_none","CodeCon_violate","CodeCon_ip","OpenDataDef","OpenDataImp","OpenDataExp","DataUse_useOthers","DataUse_mine","DataUse_peer","DataUse_reading","DataUse_other","DataUse_text","Data-Concerns","DataConcernsList","DataConcern_criticise","DataConcern_ip","DataConcern_devalues","DataConcern_other","DataConcern_text","DataConcern_none","DataConcern_effort","DataConcern_unfair","DataConcern_credit","DataConcern_ethics","DataConcern_privacy","DataConcern_control","DataConcern_scoop","PrePubDef","PrePubImp","PrePubExp","PrePubUse_upload","PrePubUse_other","PrePubUse_text","PrePubUse_cited","PrePubUse_read","PrePub-Concerns","PrePubConcernsText","PrePubConcern_policy","PrePubConcern_scoop","PrePubConcern_noise","PrePubConcern_citations","PrePubConcern_other","PrePubConcern_text","PrePubConcern_compare","PrePubConcern_none","OAdef","OAprop","OAfees_free","OAfees_research_income","OAfees_centre","OAfees_school","OAfees_collab","OAfees_own_money","OAfees_other","OAfees_text","OAfees_withdrew","OAfees_waiver","OAfees_hdr","LastStudy","LastStudy_TEXT","OSmost_data","OSmost_code","OSmost_prepub","OSmost_prereg","OSmost_none","OSmost_OA","OSmost_unknown","OSmost_other","OSmost_text","OSmost_repo","OSTools_1","OSTools_2","OSTools_3","OSTools_4","OSTools_5","OSTools_6","OSTools_7","OSTools_8","OSTools_9","OSTools_10","OSTools_11","OSTools_12","OSTools_22","OSToolsOther","OSBarriers","OSBarriersText","OSFacilitate","OSBarrier_noOAFunding","OSBarrier_noCredit","OSBarrier_noMandate","OSBarrier_noInfo","OSBarrier_noInfrastructure","OSBarrier_noTimeEngage","OSBarrier_colleaguesDis","OSBarrier_noInterest","OSBarrier_none","OSBarrier_intimidating","OSBarrier_other","OSBarrier_text","OSBarrier_supervisorsDis","OSBarrier_noTraining","OSBarrier_independent","OSBarrier_noRecognition","OSBarrier_noSupport","OSBarrier_noOSFunding","OSBarrier_noTimeLearn","OSBarrier_noExpertise","DefRR","crisis","RepEstimate","self_rep_1","self_rep_2","self_rep_3","self_rep_5","self_rep_6","self_rep_4","LearnedFrom_9","LearnedFrom_9_TEXT","LearnedFrom_10","LearnedFrom_11","LearnedFrom_12","LearnedFrom_13","LearnedFrom_14","LearnedFrom_15","LearnedFrom_16","LearnedFrom_17","LearnedSpec","Teaching_1","Teaching_2","Teaching_3","Teaching_4","Teaching_5","Teaching_6","Teaching_6_TEXT","Teaching_7","Teaching_8","AcLevel_1","AcLevel_2","AcLevel_3","AcLevel_4","AcLevel_5","AcLevel_6","AcLevel_7","AcLevel_9","AcLevel_10","AcLevel_10_TEXT","AcLevel_12","AcLevel_13","funded","FundKnow","Thanks","FORcode_2_num","FORcode_2_label","FORcode_4_num","FORcode_4_label","discipline","crisis_num","OverallExp_num","PreRegImp_num_o","PreRegExp_num","CodeImp_num_o","CodeExp_num","DataExp_num","DataImp_num_o","PrePubImp_num_o","PrePubExp_num","OAprop_num_o","PreRegImp_num","CodeImp_num","DataImp_num","PrePubImp_num","OAprop_num","OverallExp","PreRegExp","DataImp","DataExp","AcLevel_Label"
1038,2,"Somewhat unimportant",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"I fear it may make people not want to deviate from their original research plan, whereas adapting a research plan after initial experiences is very important to me. Even though this could still be done, changes might provoke questions from the research community, which would then need to be defended. This practice can be constructive and friendly, but from my experience can often turn into tedious, or even ugly, debates more about personal preferences than about research rigour.",1,1,1,1,NA,NA,NA,NA,NA,NA,1,"Somewhat unimportant","Aware, But Not Used",NA,NA,NA,NA,NA,NA,1,"My data collected is sensitive and very contextual. It is hard to anonymise the data while keeping it useful for other researchers without oversimplifying our complex reality.",NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,1,"Same as previous",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,"Not at all","Unaware",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,"I don't know",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,2,2,0,0,0,0,0,0,0,0,1,1,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Slight Crisis",40,0,0,0,0,0,0,NA,NA,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,12," Built Environment and Design",1203," Design Practice and Management","Other","2","2","3","1","3","2","2","2","4","1","5","2","2","3","1","5","Aware, But Not Used","Unaware","Somewhat important","Aware, But Not Used","PhD Student"
1039,2,"Not at all",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"The publication process is already arduous. Couple this with the many experiments undertaken which ultimately don't produce publishable outcomes and it would lead to a dramatic increase in the time taken for meaningful publication, and potentially push researchers away from attempting to answer research questions for which there is the possibility of a negative outcome.",1,1,1,1,NA,NA,NA,NA,NA,NA,1,"Somewhat unimportant","Aware, But Not Used",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,"Somewhat unimportant","Unaware",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,"Some journals are beginning to move into the open space, but it is not common practice.",NA,2,2,2,2,0,0,0,0,0,0,2,0,1,NA,0,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,4,"Slight Crisis",80,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,"Not Specified",NA,NA,"Not Specified","2","2","4","2","3","2","2","3","3","1","0","1","2","2","2","0","Aware, But Not Used","Aware, But Not Used","Somewhat unimportant","Aware, But Not Used","Senior Lecturer"
1040,3,"Not at all",3,NA,1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,1,"Research question and methodology evolve as the research progresses.",NA,1,1,1,1,NA,NA,NA,1,NA,1,"Extremely important","Regular Use",1,1,NA,NA,NA,NA,0,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,1,2,3,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,"Somewhat unimportant","Aware, But Not Used",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,"Some",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,1,NA,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Slight Crisis",65,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,9," Engineering",910," Manufacturing Engineering","Engineering","2","3","4","3","1","4","3","2","3","2","4","1","4","3","2","1","Some","Some Experience","Somewhat important","Some Use","Professor"
1041,3,"Not at all",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Unnecessary red tape is always concerning",1,1,1,1,1,NA,NA,1,NA,NA,1,"Somewhat important","Regular Use",NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,3,2,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,"Somewhat important","Extensive Experience",1,NA,NA,1,1,2,"Plagiarism is increasingly prevalent and will become worse. There is no current way apart from ineffective and expensive lawsuits to prevent other researchers from copying ideas, methods and conclusions from reprints, then claiming publication priority.",NA,1,1,1,NA,NA,NA,NA,1,"Some",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,0,1,0,0,2,0,0,0,0,0,1,0,1,NA,1,"Cost of publishing in open access journals. This is incredibly expensive compared to normal publication in a journal published by a scientific society. There is also the obvious and serious ethical problem that supporting pay to publish journals supports inherently unethical practise. /  / The term open access is highly misleading. In reality, these journals are not open access to scientists. Most of the worlds population and potential are barred from entry, if this continues. In the end, science will be colonised by the rich, to the detriment of quality and universal right to publish.","The problems are extremely serious, and the only solution that seems possible is to adopt a more balanced approach that enables traditional subscription publishing of non commercial journals to continue as a viable alternative. The EU approach is reprehensible, as it is completely one sided.",1,1,NA,NA,NA,1,NA,NA,NA,NA,1,"This is a somewhat biased question, as it implies that practises like pay to publish are desirable.",NA,NA,NA,1,NA,1,NA,NA,4,"Slight Crisis",78,NA,NA,1,NA,NA,NA,1,"Reading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2," Physical Sciences",206," Quantum Physics","Physical Sciences","2","3","4","2","2","4","2","3","2","4","4","1","3","2","3","1","Some","Aware, But Not Used","Somewhat unimportant","Aware, But Not Used","Professor"
1042,3,"Somewhat unimportant",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"In some cases, it can be hard to capture all the hypotheses to be tested until looking at the data?",NA,1,1,1,NA,NA,NA,NA,NA,NA,1,"Extremely important","Regular Use",1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,4,1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"Extremely important","Extensive Experience",1,NA,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,"All",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,0,0,2,0,0,0,0,0,2,0,2,NA,1,"Increasing my skills in good practice in these areas, e.g. archiving code, GitHub.","Finding time to increase my skills in these areas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,4,"Slight Crisis",90,0,1,0,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2," Physical Sciences",201," Astronomical and Space Sciences","Physical Sciences","2","3","3","2","1","4","4","1","1","4","1","2","4","4","4","4","Some","Aware, But Not Used","Extremely important","Regular Use","Professor"
1043,3,"Not at all",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,1,"Somewhat important","Some Use",NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,2,3,NA,1,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,"Somewhat important","Aware, But Not Used",NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,"Half",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,1,NA,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,4,"Significant Crisis",60,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Years ago. Can't recall.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,6," Biological Sciences",NA,NA,"Math, Chem, Enviro, & Bio Sciences","1","3","4","1","2","3","3","2","2","2","3","1","3","3","3","2","Some","Unaware","Somewhat important","Some Use","Senior Lecturer"
1044,2,"Not at all",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"In true research you need freedom and inspiration, not another regulation",NA,1,1,1,1,NA,NA,NA,NA,NA,1,"Somewhat unimportant","Some Use",1,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,3,2,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,"Somewhat unimportant","Some Experience",1,NA,NA,1,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,1,"Some",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,1,0,1,NA,1,"Quality of open access outlets, cost of publishing","Time will sort these out",1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,4,"Slight Crisis",95,0,0,0,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1," Mathematical Sciences",102," Applied Mathematics","Math, Chem, Enviro, & Bio Sciences","2","2","4","1","3","3","2","3","3","3","4","1","2","2","2","1","Aware, But Not Used","Unaware","Somewhat unimportant","Aware, But Not Used","Associate Professor"
1045,4,"Somewhat important",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,"Somewhat important","Aware, But Not Used",NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Somewhat important","Unaware",NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"Half",NA,NA,NA,NA,NA,NA,1,"I have not apllied",NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,2,0,0,0,0,0,0,2,0,2,NA,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Significant Crisis",50,1,1,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,1,1,9," Engineering",905," Civil Engineering","Engineering","1","4","2","1","2","2","2","2","2","1","3","3","3","3","3","2","Extensive","Unaware","Somewhat important","Aware, But Not Used","PhD Student"
1046,2,"Somewhat unimportant",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,1,"Not at all","Aware, But Not Used",NA,NA,NA,NA,NA,NA,0,NA,1,1,1,1,NA,1,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,"Extremely important","Aware, But Not Used",NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,"Some",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,2,0,0,2,0,0,2,0,2,2,1,2,2,NA,0,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,1,1,NA,NA,4,"Slight Crisis",73,0,1,0,2,2,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,3," Chemical Sciences",303," Macromolecular and Materials Chemistry","Math, Chem, Enviro, & Bio Sciences","2","2","3","2","4","2","2","1","1","2","4","2","1","4","4","1","Aware, But Not Used","Aware, But Not Used","Extremely important","Aware, But Not Used","PhD Student"
1047,3,"Somewhat important",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,"Somewhat important","Aware, But Not Used",NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,1,1,2,3,1,1,1,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,"Somewhat important","Aware, But Not Used",NA,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,1,NA,1,"Some",1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2,0,2,2,0,2,0,NA,NA,NA,1,0,1,NA,0,NA,NA,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,4,"Significant Crisis",60,0,1,1,0,0,0,NA,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3," Chemical Sciences",306," Physical Chemistry (incl Structural)","Math, Chem, Enviro, & Bio Sciences","1","3","2","2","2","2","3","2","2","2","4","3","3","3","3","1","Some","Aware, But Not Used","Somewhat important","Some Use","Professor"
1048,2,"Somewhat important",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,"Extremely important","Unaware",NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,"Somewhat important","Unaware",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"haven't published yet",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,0,0,2,0,0,0,0,0,0,2,0,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Don't Know",40,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,0,1,15," Commerce, Management, Tourism and Services",1505," Marketing","Business & Law","4","2","2","1","1","1","1","1","2","1","0","3","4","4","3","0","Aware, But Not Used","Unaware","Extremely important","Unaware","PhD Student"
1049,3,"Not at all",3,1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"Somewhat unimportant","Aware, But Not Used",NA,NA,NA,NA,NA,NA,1,"Many of my research subjects are vulnerable or at-risk, releasing information about my studies has the potential to both reduce the number of participants willing to participate and also the veracity of the data being shared with the research team. Additionally, a number of my projects are deemed commercial in confidence or sensitive (not for release).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,NA,NA,NA,NA,NA,NA,1,"Many of my research subjects are vulnerable or at-risk, releasing information about my studies has the potential to both reduce the number of participants willing to participate and also the veracity of the data being shared with the research team. Additionally, a number of my projects are deemed commercial in confidence or sensitive (not for release).",NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,"Somewhat unimportant","Aware, But Not Used",NA,NA,NA,NA,NA,2,"The work will be identifiable therefore compromising blind review processes.",1,NA,NA,NA,NA,NA,NA,NA,1,"Some",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Longitudinal study of a particular development intervention, couldn't replicate the context or participants as the time period has passed.",NA,NA,1,NA,NA,NA,NA,NA,NA,1,0,2,2,2,2,0,2,0,0,0,1,0,1,NA,1,"Participant groups and research ethics requirements (very identifiable populations).","I could redact the data sets, but these would likely render them worthless.",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"Slight Crisis",10,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,15," Commerce, Management, Tourism and Services",1504," Strategic Procurement","Business & Law","2","3","4","3","3","2","2","3","3","2","4","1","2","2","2","1","Some","Some Experience","Somewhat unimportant","Aware, But Not Used","Associate Professor"
1050,4,"Somewhat important",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"Extremely important","Regular Use",1,1,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,4,1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"Somewhat important","Extensive Experience",1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Most",1,NA,NA,NA,NA,NA,1,"The PI paid for the fees from research income (Unsure exactly what the funding source was)",NA,NA,NA,2,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,1,1,2,0,1,0,2,2,1,0,1,1,2,"I use Zenodo: zenodo.org",0,NA,NA,1,1,1,1,1,1,NA,1,NA,1,NA,NA,NA,1,1,1,1,1,1,1,4,"Significant Crisis",70,0,0,0,0,0,0,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,"Encouraging students to adopt open science principles",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,2," Physical Sciences",201," Astronomical and Space Sciences","Physical Sciences","1","4","2","1","1","4","4","1","2","4","2","3","4","4","3","3","Extensive","Unaware","Extremely important","Regular Use","Postdoc"
1051,3,"Not at all",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,"Extremely important","Regular Use",1,1,1,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,4,1,1,1,1,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"Extremely important","Extensive Experience",1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Most",1,NA,NA,NA,NA,NA,1,"I paid fees from discretionary research income I have raised, which is not related to a grant scheme",NA,NA,NA,2,NA,1,1,1,NA,NA,1,NA,NA,NA,1,0,1,2,0,1,0,2,0,0,2,1,1,1,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,"Slight Crisis",70,0,0,1,0,0,0,1,"From my HDR students",NA,NA,1,NA,1,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,2," Physical Sciences",201," Astronomical and Space Sciences","Physical Sciences","2","3","4","2","1","4","4","1","1","4","2","1","4","4","4","3","Some","Aware, But Not Used","Extremely important","Regular Use","Associate Professor"
1052,4,"Somewhat unimportant",4,1,1,NA,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Extremely important","Regular Use",1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Not at all","Some Experience",NA,NA,NA,1,NA,2,"That the data hasn't been peer reviewed. Its adding significant noise into an already overwhelmed system.",1,NA,1,1,NA,NA,NA,NA,1,"Some",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,1,0,2,1,1,1,2,2,2,2,1,2,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Significant Crisis",80,1,1,1,1,1,1,1,"From myself",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,17," Psychology and Cognitive Sciences",1701," Psychology","Psyc & Cog Sciences","1","4","3","4","1","4","4","2","4","3","4","2","4","3","1","1","Extensive","Reg Use","Somewhat important","Regular Use","Professor"
1053,3,"Somewhat unimportant",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,1,"Somewhat important","Regular Use",1,1,1,NA,NA,NA,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,2,4,1,1,NA,1,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,"Somewhat important","Aware, But Not Used",NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,0,1,0,0,0,0,1,2,0,0,1,0,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,5,"Don't Know",75,0,0,0,0,0,0,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,0,1,8," Information and Computing Sciences",803," Computer Software","Tech & Comp Sciences","4","3","3","2","2","4","4","2","2","2","0","2","3","3","3","0","Some","Aware, But Not Used","Somewhat important","Regular Use","PhD Student"
